Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk,Risk_Binary,Age_Group,Credit_Group,Duration_Group,Credit_Per_Month,Sex_Encoded,Housing_Encoded,Saving accounts_Encoded,Checking account_Encoded,Purpose_Encoded,Age_Group_Encoded,Credit_Group_Encoded,Duration_Group_Encoded,Risk_Probability,Credit_Score,Risk_Category
30,male,2,own,moderate,moderate,5866,18,car,good,0,26-35,High,1-2 years,325.8888888888889,1,1,1,1,1,1,0,0,0.09,910,Excellent
57,male,1,rent,unknown,unknown,1264,12,business,good,0,55+,Low,<1 year,105.33333333333333,1,2,4,3,0,4,1,4,0.08,920,Excellent
33,female,3,own,little,rich,1474,12,furniture/equipment,good,0,26-35,Low,<1 year,122.83333333333333,0,1,0,2,4,1,1,4,0.09,910,Excellent
25,male,1,own,little,moderate,4746,45,radio/TV,bad,1,18-25,Medium,3-4 years,105.46666666666667,1,1,0,1,5,0,2,2,0.88,120,Very Poor
31,male,2,free,little,unknown,6110,48,education,good,0,26-35,High,3-4 years,127.29166666666667,1,0,0,3,3,1,0,2,0.11,890,Excellent
37,male,2,own,little,rich,2100,18,radio/TV,bad,1,36-45,Low,1-2 years,116.66666666666667,1,1,0,2,5,2,1,0,0.8,199,Very Poor
37,male,2,own,little,rich,1225,10,domestic appliances,good,0,36-45,Low,<1 year,122.5,1,1,0,2,2,2,1,4,0.35,650,Good
24,male,2,own,little,moderate,458,9,radio/TV,good,0,18-25,Very Low,<1 year,50.888888888888886,1,1,0,1,5,0,4,4,0.06,940,Excellent
30,male,3,own,quite rich,unknown,2333,30,radio/TV,good,0,26-35,Low,2-3 years,77.76666666666667,1,1,2,3,5,1,1,1,0.07,929,Excellent
26,male,2,own,quite rich,moderate,1158,12,radio/TV,good,0,26-35,Low,<1 year,96.5,1,1,2,1,5,1,1,4,0.11,890,Excellent
44,male,1,own,little,moderate,6204,18,repairs,good,0,36-45,High,1-2 years,344.6666666666667,1,1,0,1,6,2,0,0,0.1,900,Excellent
24,male,2,rent,moderate,little,6187,30,car,good,0,18-25,High,2-3 years,206.23333333333332,1,2,1,0,1,0,0,1,0.6,400,Very Poor
58,female,1,free,little,little,6143,48,car,bad,1,55+,High,3-4 years,127.97916666666667,0,0,0,0,1,4,0,2,0.97,30,Very Poor
35,female,3,own,little,unknown,1393,11,car,good,0,26-35,Low,<1 year,126.63636363636364,0,1,0,3,1,1,1,4,0.0,1000,Excellent
39,male,2,own,quite rich,unknown,2299,36,radio/TV,good,0,36-45,Low,2-3 years,63.861111111111114,1,1,2,3,5,2,1,1,0.13,870,Excellent
23,female,0,rent,quite rich,little,1352,6,car,good,0,18-25,Low,<1 year,225.33333333333334,0,2,2,0,1,0,1,4,0.47,530,Poor
39,male,1,own,little,unknown,7228,11,car,good,0,36-45,High,<1 year,657.0909090909091,1,1,0,3,1,2,0,4,0.08,920,Excellent
28,female,2,own,moderate,unknown,2073,12,radio/TV,good,0,26-35,Low,<1 year,172.75,0,1,1,3,5,1,1,4,0.02,980,Excellent
29,male,1,own,unknown,moderate,2333,24,furniture/equipment,good,0,26-35,Low,1-2 years,97.20833333333333,1,1,4,1,4,1,1,0,0.06,940,Excellent
30,male,3,own,little,moderate,5965,27,car,good,0,26-35,High,2-3 years,220.92592592592592,1,1,0,1,1,1,0,1,0.2,800,Excellent
25,male,2,own,little,unknown,1262,12,radio/TV,good,0,18-25,Low,<1 year,105.16666666666667,1,1,0,3,5,0,1,4,0.06,940,Excellent
31,male,2,own,unknown,unknown,3378,18,car,good,0,26-35,Medium,1-2 years,187.66666666666666,1,1,4,3,1,1,2,0,0.0,1000,Excellent
57,male,2,free,little,moderate,2225,36,car,bad,1,55+,Low,2-3 years,61.80555555555556,1,0,0,1,1,4,1,1,0.89,109,Very Poor
26,male,1,own,unknown,unknown,783,6,car,good,0,26-35,Very Low,<1 year,130.5,1,1,4,3,1,1,4,4,0.16,840,Excellent
52,male,3,own,unknown,moderate,6468,12,radio/TV,bad,1,46-55,High,<1 year,539.0,1,1,4,1,5,3,0,4,0.76,240,Very Poor
31,female,2,own,little,unknown,9566,36,radio/TV,good,0,26-35,High,2-3 years,265.72222222222223,0,1,0,3,5,1,0,1,0.23,770,Excellent
23,female,3,own,little,rich,1961,18,car,good,0,18-25,Low,1-2 years,108.94444444444444,0,1,0,2,1,0,1,0,0.29,710,Good
23,female,1,rent,little,little,6229,36,furniture/equipment,bad,1,18-25,High,2-3 years,173.02777777777777,0,2,0,0,4,0,0,1,0.92,79,Very Poor
27,male,2,own,little,moderate,1391,9,business,good,0,26-35,Low,<1 year,154.55555555555554,1,1,0,1,0,1,1,4,0.19,810,Excellent
50,male,2,own,unknown,moderate,1537,15,radio/TV,good,0,46-55,Low,1-2 years,102.46666666666667,1,1,4,1,5,3,1,0,0.06,940,Excellent
61,male,3,free,little,moderate,1953,36,business,bad,1,55+,Low,2-3 years,54.25,1,0,0,1,0,4,1,1,0.9,99,Very Poor
25,male,2,own,little,moderate,14421,48,business,bad,1,18-25,Very High,3-4 years,300.4375,1,1,0,1,0,0,3,2,0.97,30,Very Poor
26,female,2,own,little,unknown,3181,24,radio/TV,good,0,26-35,Medium,1-2 years,132.54166666666666,0,1,0,3,5,1,2,0,0.07,929,Excellent
48,male,2,own,unknown,unknown,5190,27,repairs,good,0,46-55,High,2-3 years,192.22222222222223,1,1,4,3,6,3,0,1,0.06,940,Excellent
29,female,2,own,little,unknown,2171,12,radio/TV,good,0,26-35,Low,<1 year,180.91666666666666,0,1,0,3,5,1,1,4,0.03,970,Excellent
22,male,2,own,rich,moderate,1007,12,car,good,0,18-25,Low,<1 year,83.91666666666667,1,1,3,1,1,0,1,4,0.27,730,Good
37,male,2,free,little,unknown,1819,36,education,bad,1,36-45,Low,2-3 years,50.52777777777778,1,0,0,3,3,2,1,1,0.67,329,Very Poor
25,female,2,own,unknown,unknown,2394,36,radio/TV,good,0,18-25,Low,2-3 years,66.5,0,1,4,3,5,0,1,1,0.03,970,Excellent
30,female,2,own,little,unknown,8133,36,car,good,0,26-35,High,2-3 years,225.91666666666666,0,1,0,3,1,1,0,1,0.57,430,Very Poor
46,male,1,rent,unknown,unknown,730,7,radio/TV,good,0,46-55,Very Low,<1 year,104.28571428571429,1,2,4,3,5,3,4,4,0.05,950,Excellent
51,male,3,free,little,little,1164,8,vacation/others,good,0,46-55,Low,<1 year,145.5,1,0,0,0,7,3,1,4,0.1,900,Excellent
41,female,1,own,little,moderate,5954,42,business,good,0,36-45,High,3-4 years,141.76190476190476,0,1,0,1,0,2,0,2,0.4,600,Fair
40,male,3,own,unknown,little,1977,36,education,bad,1,36-45,Low,2-3 years,54.916666666666664,1,1,4,0,3,2,1,1,0.76,240,Very Poor
66,male,3,free,little,little,1526,12,car,good,0,55+,Low,<1 year,127.16666666666667,1,0,0,0,1,4,1,4,0.1,900,Excellent
34,male,2,own,little,little,3965,42,radio/TV,bad,1,26-35,Medium,3-4 years,94.4047619047619,1,1,0,0,5,1,2,2,0.85,150,Very Poor
51,male,2,own,little,moderate,4771,11,radio/TV,good,0,46-55,Medium,<1 year,433.72727272727275,1,1,0,1,5,3,2,4,0.13,870,Excellent
39,male,1,own,unknown,unknown,9436,54,car,good,0,36-45,High,4+ years,174.74074074074073,1,1,4,3,1,2,0,3,0.05,950,Excellent
22,male,2,own,little,moderate,3832,30,furniture/equipment,good,0,18-25,Medium,2-3 years,127.73333333333333,1,1,0,1,4,0,2,1,0.26,740,Good
44,female,2,own,unknown,unknown,5943,24,radio/TV,bad,1,36-45,High,1-2 years,247.625,0,1,4,3,5,2,0,0,0.74,260,Very Poor
47,male,2,own,quite rich,unknown,1213,15,radio/TV,good,0,46-55,Low,1-2 years,80.86666666666666,1,1,2,3,5,3,1,0,0.0,1000,Excellent
24,female,1,rent,moderate,unknown,1568,18,business,good,0,18-25,Low,1-2 years,87.11111111111111,0,2,1,3,0,0,1,0,0.13,870,Excellent
58,female,1,own,little,little,1755,24,vacation/others,good,0,55+,Low,1-2 years,73.125,0,1,0,0,7,4,1,0,0.53,470,Poor
52,male,1,own,little,little,2315,10,radio/TV,good,0,46-55,Low,<1 year,231.5,1,1,0,0,5,3,1,4,0.06,940,Excellent
29,female,3,own,little,unknown,1412,12,business,good,0,26-35,Low,<1 year,117.66666666666667,0,1,0,3,0,1,1,4,0.06,940,Excellent
27,female,2,own,little,moderate,1295,18,furniture/equipment,good,0,26-35,Low,1-2 years,71.94444444444444,0,1,0,1,4,1,1,0,0.35,650,Good
47,male,2,free,moderate,moderate,12612,36,education,bad,1,46-55,Very High,2-3 years,350.3333333333333,1,0,1,1,3,3,3,1,0.9,99,Very Poor
30,male,3,own,moderate,little,2249,18,car,good,0,26-35,Low,1-2 years,124.94444444444444,1,1,1,0,1,1,1,0,0.15,850,Excellent
28,male,2,own,little,little,1108,12,repairs,bad,1,26-35,Low,<1 year,92.33333333333333,1,1,0,0,6,1,1,4,0.28,720,Good
56,male,2,own,little,unknown,618,12,radio/TV,good,0,55+,Very Low,<1 year,51.5,1,1,0,3,5,4,4,4,0.06,940,Excellent
54,male,2,own,little,little,1409,12,car,good,0,46-55,Low,<1 year,117.41666666666667,1,1,0,0,1,3,1,4,0.14,860,Excellent
33,female,1,own,unknown,unknown,797,12,radio/TV,bad,1,26-35,Very Low,<1 year,66.41666666666667,0,1,4,3,5,1,4,4,0.72,280,Very Poor
20,male,2,rent,unknown,rich,3617,24,furniture/equipment,good,0,18-25,Medium,1-2 years,150.70833333333334,1,2,4,2,4,0,2,0,0.13,870,Excellent
54,male,2,own,rich,moderate,1318,12,car,good,0,46-55,Low,<1 year,109.83333333333333,1,1,3,1,1,3,1,4,0.1,900,Excellent
58,male,2,rent,little,moderate,15945,54,business,bad,1,55+,Very High,4+ years,295.27777777777777,1,2,0,1,0,4,3,3,0.95,50,Very Poor
61,female,2,own,unknown,unknown,2012,12,education,good,0,55+,Low,<1 year,167.66666666666666,0,1,4,3,3,4,1,4,0.11,890,Excellent
34,male,2,own,moderate,moderate,2622,18,business,good,0,26-35,Low,1-2 years,145.66666666666666,1,1,1,1,0,1,1,0,0.15,850,Excellent
36,male,2,own,little,moderate,2337,36,radio/TV,good,0,36-45,Low,2-3 years,64.91666666666667,1,1,0,1,5,2,1,1,0.19,810,Excellent
36,male,3,rent,unknown,moderate,7057,20,car,good,0,36-45,High,1-2 years,352.85,1,2,4,1,1,2,0,0,0.03,970,Excellent
41,male,1,rent,moderate,unknown,1469,24,car,good,0,36-45,Low,1-2 years,61.208333333333336,1,2,1,3,1,2,1,0,0.11,890,Excellent
24,male,2,rent,little,moderate,2323,36,radio/TV,good,0,18-25,Low,2-3 years,64.52777777777777,1,2,0,1,5,0,1,1,0.28,720,Good
24,female,2,own,little,unknown,932,6,radio/TV,good,0,18-25,Very Low,<1 year,155.33333333333334,0,1,0,3,5,0,4,4,0.01,990,Excellent
35,male,2,rent,little,moderate,1919,9,furniture/equipment,good,0,26-35,Low,<1 year,213.22222222222223,1,2,0,1,4,1,1,4,0.06,940,Excellent
26,male,2,rent,unknown,unknown,2445,12,car,good,0,26-35,Low,<1 year,203.75,1,2,4,3,1,1,1,4,0.04,960,Excellent
39,male,3,own,little,moderate,11938,24,vacation/others,bad,1,36-45,Very High,1-2 years,497.4166666666667,1,1,0,1,7,2,3,0,0.9,99,Very Poor
39,male,3,own,little,unknown,6458,18,car,bad,1,36-45,High,1-2 years,358.77777777777777,1,1,0,3,1,2,0,0,0.73,270,Very Poor
32,male,2,own,little,moderate,6078,12,car,good,0,26-35,High,<1 year,506.5,1,1,0,1,1,1,0,4,0.4,600,Fair
30,female,2,own,unknown,little,7721,24,furniture/equipment,good,0,26-35,High,1-2 years,321.7083333333333,0,1,4,0,4,1,0,0,0.18,820,Excellent
35,male,2,own,quite rich,moderate,1410,14,business,good,0,26-35,Low,1-2 years,100.71428571428571,1,1,2,1,0,1,1,0,0.09,910,Excellent
31,male,2,own,moderate,moderate,1449,6,business,good,0,26-35,Low,<1 year,241.5,1,1,1,1,0,1,1,4,0.06,940,Excellent
23,female,2,rent,little,rich,392,15,education,good,0,18-25,Very Low,1-2 years,26.133333333333333,0,2,0,2,3,0,4,0,0.13,870,Excellent
28,male,1,rent,little,moderate,6260,18,car,good,0,26-35,High,1-2 years,347.77777777777777,1,2,0,1,1,1,0,0,0.39,610,Fair
25,female,2,own,little,unknown,7855,36,car,bad,1,18-25,High,2-3 years,218.19444444444446,0,1,0,3,1,0,0,1,0.75,250,Very Poor
35,male,2,own,quite rich,little,1680,12,radio/TV,good,0,26-35,Low,<1 year,140.0,1,1,2,0,5,1,1,4,0.13,870,Excellent
47,male,2,own,unknown,unknown,3578,48,radio/TV,good,0,46-55,Medium,3-4 years,74.54166666666667,1,1,4,3,5,3,2,2,0.09,910,Excellent
30,female,3,own,unknown,little,7174,42,radio/TV,bad,1,26-35,High,3-4 years,170.8095238095238,0,1,4,0,5,1,0,2,0.74,260,Very Poor
27,female,2,rent,unknown,little,2132,10,furniture/equipment,good,0,26-35,Low,<1 year,213.2,0,2,4,0,4,1,1,4,0.14,860,Excellent
23,female,2,own,quite rich,little,4281,33,furniture/equipment,bad,1,18-25,Medium,2-3 years,129.72727272727272,0,1,2,0,4,0,2,1,0.9,99,Very Poor
36,male,3,own,quite rich,moderate,2366,12,car,good,0,36-45,Low,<1 year,197.16666666666666,1,1,2,1,1,2,1,4,0.07,929,Excellent
25,female,2,own,little,little,1835,21,radio/TV,bad,1,18-25,Low,1-2 years,87.38095238095238,0,1,0,0,5,0,1,0,0.92,79,Very Poor
41,female,3,rent,little,unknown,3868,24,car,good,0,36-45,Medium,1-2 years,161.16666666666666,0,2,0,3,1,2,2,0,0.04,960,Excellent
24,male,1,rent,little,unknown,1768,12,furniture/equipment,good,0,18-25,Low,<1 year,147.33333333333334,1,2,0,3,4,0,1,4,0.25,750,Excellent
63,male,2,free,little,rich,781,10,car,good,0,55+,Very Low,<1 year,78.1,1,0,0,2,1,4,4,4,0.23,770,Excellent
27,female,2,rent,unknown,moderate,1924,18,furniture/equipment,bad,1,26-35,Low,1-2 years,106.88888888888889,0,2,4,1,4,1,1,0,0.73,270,Very Poor
30,male,2,own,little,little,2121,12,car,good,0,26-35,Low,<1 year,176.75,1,1,0,0,1,1,1,4,0.05,950,Excellent
40,male,1,own,little,little,701,12,radio/TV,good,0,36-45,Very Low,<1 year,58.416666666666664,1,1,0,0,5,2,4,4,0.22,780,Excellent
30,male,2,own,little,moderate,639,12,repairs,bad,1,26-35,Very Low,<1 year,53.25,1,1,0,1,6,1,4,4,0.78,219,Very Poor
34,male,3,own,little,moderate,1860,12,car,good,0,26-35,Low,<1 year,155.0,1,1,0,1,1,1,1,4,0.38,620,Fair
29,female,2,own,little,little,3499,12,car,bad,1,26-35,Medium,<1 year,291.5833333333333,0,1,0,0,1,1,2,4,0.27,730,Good
24,female,2,own,unknown,moderate,8487,48,car,good,0,18-25,High,3-4 years,176.8125,0,1,4,1,1,0,0,2,0.13,870,Excellent
29,male,2,own,little,little,6887,36,education,bad,1,26-35,High,2-3 years,191.30555555555554,1,1,0,0,3,1,0,1,0.96,40,Very Poor
27,male,1,own,little,unknown,2708,15,furniture/equipment,good,0,26-35,Low,1-2 years,180.53333333333333,1,1,0,3,4,1,1,0,0.07,929,Excellent
47,male,2,free,little,unknown,1984,18,furniture/equipment,good,0,46-55,Low,1-2 years,110.22222222222223,1,0,0,3,4,3,1,0,0.24,760,Excellent
21,female,2,own,moderate,unknown,10144,60,radio/TV,good,0,18-25,Very High,4+ years,169.06666666666666,0,1,1,3,5,0,3,3,0.36,640,Fair
38,female,2,own,unknown,unknown,1240,12,radio/TV,good,0,36-45,Low,<1 year,103.33333333333333,0,1,4,3,5,2,1,4,0.02,980,Excellent
27,male,2,own,rich,unknown,8613,27,car,good,0,26-35,High,2-3 years,319.0,1,1,3,3,1,1,0,1,0.15,850,Excellent
66,male,1,own,quite rich,moderate,766,12,radio/TV,bad,1,55+,Very Low,<1 year,63.833333333333336,1,1,2,1,5,4,4,4,0.82,180,Very Poor
35,male,2,own,unknown,moderate,2728,15,radio/TV,good,0,26-35,Low,1-2 years,181.86666666666667,1,1,4,1,5,1,1,0,0.15,850,Excellent
44,female,1,rent,little,rich,1881,12,radio/TV,good,0,36-45,Low,<1 year,156.75,0,2,0,2,5,2,1,4,0.11,890,Excellent
27,male,0,own,rich,rich,709,6,car,good,0,26-35,Very Low,<1 year,118.16666666666667,1,1,3,2,1,1,4,4,0.13,870,Excellent
30,female,3,own,little,moderate,4795,36,radio/TV,good,0,26-35,Medium,2-3 years,133.19444444444446,0,1,0,1,5,1,2,1,0.6,400,Very Poor
27,male,3,own,little,little,3416,27,radio/TV,good,0,26-35,Medium,2-3 years,126.51851851851852,1,1,0,0,5,1,2,1,0.49,510,Poor
22,male,2,own,little,little,2462,18,furniture/equipment,bad,1,18-25,Low,1-2 years,136.77777777777777,1,1,0,0,4,0,1,0,0.9,99,Very Poor
23,female,2,own,little,unknown,2288,21,furniture/equipment,good,0,18-25,Low,1-2 years,108.95238095238095,0,1,0,3,4,0,1,0,0.18,820,Excellent
30,male,2,own,moderate,moderate,3566,48,business,good,0,26-35,Medium,3-4 years,74.29166666666667,1,1,1,1,0,1,2,2,0.1,900,Excellent
39,female,2,own,little,little,860,6,car,good,0,36-45,Very Low,<1 year,143.33333333333334,0,1,0,0,1,2,4,4,0.13,870,Excellent
51,female,2,own,moderate,unknown,682,12,car,good,0,46-55,Very Low,<1 year,56.833333333333336,0,1,1,3,1,3,4,4,0.02,980,Excellent
28,male,2,own,little,little,5371,36,furniture/equipment,good,0,26-35,High,2-3 years,149.19444444444446,1,1,0,0,4,1,0,1,0.26,740,Good
46,male,2,own,rich,unknown,1582,18,radio/TV,good,0,46-55,Low,1-2 years,87.88888888888889,1,1,3,3,5,3,1,0,0.02,980,Excellent
42,male,2,free,moderate,unknown,1346,6,radio/TV,good,0,36-45,Low,<1 year,224.33333333333334,1,0,1,3,5,2,1,4,0.02,980,Excellent
38,male,2,own,little,unknown,1924,10,radio/TV,good,0,36-45,Low,<1 year,192.4,1,1,0,3,5,2,1,4,0.0,1000,Excellent
24,male,2,own,little,rich,5848,36,radio/TV,good,0,18-25,High,2-3 years,162.44444444444446,1,1,0,2,5,0,0,1,0.17,830,Excellent
29,female,2,rent,rich,moderate,7758,24,car,good,0,26-35,High,1-2 years,323.25,0,2,3,1,1,1,0,0,0.27,730,Good
36,male,3,rent,moderate,moderate,6967,24,business,good,0,36-45,High,1-2 years,290.2916666666667,1,2,1,1,0,2,0,0,0.1,900,Excellent
20,female,2,rent,little,little,1282,12,furniture/equipment,bad,1,18-25,Low,<1 year,106.83333333333333,0,2,0,0,4,0,1,4,0.88,120,Very Poor
48,male,2,own,moderate,little,1288,9,repairs,good,0,46-55,Low,<1 year,143.11111111111111,1,1,1,0,6,3,1,4,0.05,950,Excellent
45,male,1,own,little,little,339,12,education,good,0,36-45,Very Low,<1 year,28.25,1,1,0,0,3,2,4,4,0.12,880,Excellent
38,male,2,own,moderate,moderate,3512,24,car,good,0,36-45,Medium,1-2 years,146.33333333333334,1,1,1,1,1,2,2,0,0.08,920,Excellent
34,male,1,own,unknown,unknown,1898,6,radio/TV,good,0,26-35,Low,<1 year,316.3333333333333,1,1,4,3,5,1,1,4,0.06,940,Excellent
36,male,2,own,moderate,unknown,2872,24,radio/TV,good,0,36-45,Low,1-2 years,119.66666666666667,1,1,1,3,5,2,1,0,0.05,950,Excellent
30,female,2,own,little,unknown,1055,18,car,good,0,26-35,Low,1-2 years,58.611111111111114,0,1,0,3,1,1,1,0,0.06,940,Excellent
36,male,2,own,quite rich,unknown,1262,15,domestic appliances,good,0,36-45,Low,1-2 years,84.13333333333334,1,1,2,3,2,2,1,0,0.06,940,Excellent
70,male,3,free,little,moderate,7308,10,car,good,0,55+,High,<1 year,730.8,1,0,0,1,1,4,0,4,0.23,770,Excellent
36,male,2,own,quite rich,unknown,909,36,car,good,0,36-45,Very Low,2-3 years,25.25,1,1,2,3,1,2,4,1,0.07,929,Excellent
32,male,2,own,quite rich,unknown,2978,6,furniture/equipment,good,0,26-35,Low,<1 year,496.3333333333333,1,1,2,3,4,1,1,4,0.03,970,Excellent
33,female,2,own,little,little,1131,18,furniture/equipment,bad,1,26-35,Low,1-2 years,62.833333333333336,0,1,0,0,4,1,1,0,0.83,170,Very Poor
20,female,2,own,rich,moderate,1577,11,furniture/equipment,good,0,18-25,Low,<1 year,143.36363636363637,0,1,3,1,4,0,1,4,0.44,560,Fair
25,female,2,rent,little,unknown,3972,24,furniture/equipment,good,0,18-25,Medium,1-2 years,165.5,0,2,0,3,4,0,2,0,0.09,910,Excellent
31,male,2,own,little,moderate,1935,24,business,bad,1,26-35,Low,1-2 years,80.625,1,1,0,1,0,1,1,0,0.96,40,Very Poor
33,male,2,rent,little,little,950,15,car,bad,1,26-35,Very Low,1-2 years,63.333333333333336,1,2,0,0,1,1,4,0,0.94,60,Very Poor
26,female,2,own,little,unknown,763,12,furniture/equipment,good,0,26-35,Very Low,<1 year,63.583333333333336,0,1,0,3,4,1,4,4,0.18,820,Excellent
34,female,3,own,little,moderate,2064,24,furniture/equipment,bad,1,26-35,Low,1-2 years,86.0,0,1,0,1,4,1,1,0,0.91,89,Very Poor
33,male,2,own,little,moderate,1414,8,radio/TV,good,0,26-35,Low,<1 year,176.75,1,1,0,1,5,1,1,4,0.09,910,Excellent
26,male,2,own,little,little,3414,21,education,bad,1,26-35,Medium,1-2 years,162.57142857142858,1,1,0,0,3,1,2,0,0.9,99,Very Poor
53,female,3,own,unknown,unknown,7485,30,car,bad,1,46-55,High,2-3 years,249.5,0,1,4,3,1,3,0,1,0.71,290,Very Poor
42,male,2,own,little,little,2577,12,furniture/equipment,good,0,36-45,Low,<1 year,214.75,1,1,0,0,4,2,1,4,0.22,780,Excellent
52,male,2,own,quite rich,little,338,6,radio/TV,good,0,46-55,Very Low,<1 year,56.333333333333336,1,1,2,0,5,3,4,4,0.06,940,Excellent
31,male,3,rent,little,unknown,1963,12,radio/TV,good,0,26-35,Low,<1 year,163.58333333333334,1,2,0,3,5,1,1,4,0.05,950,Excellent
65,male,2,own,little,little,571,21,car,good,0,55+,Very Low,1-2 years,27.19047619047619,1,1,0,0,1,4,4,0,0.22,780,Excellent
28,male,2,own,little,unknown,9572,36,business,bad,1,26-35,High,2-3 years,265.8888888888889,1,1,0,3,0,1,0,1,0.85,150,Very Poor
30,male,3,own,little,moderate,4455,36,business,bad,1,26-35,Medium,2-3 years,123.75,1,1,0,1,0,1,2,1,0.84,160,Very Poor
